id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price
9835,Beautiful Room & House,33057,Manju,Manningham,-37.77268392793162,145.09213284673402,Private room,60
10803,Room in Cool Deco Apartment in Brunswick,38901,Lindsay,Moreland,-37.76650511833534,144.98073609952363,Private room,35
12936,St Kilda 1BR APT+BEACHSIDE+VIEWS+PARKING+WIFI+AC,50121,Frank & Vince,Port Phillip,-37.859755022252834,144.9773691312915,Entire home/apt,159
15246,Large private room-close to city,59786,Eleni,Darebin,-37.758970717393446,144.98922790666975,Private room,50
16760,Melbourne BnB near City & Sports,65090,Colin,Port Phillip,-37.864530304952794,144.9922379283506,Private room,69
38271,Melbourne - Old Trafford Apartment,164193,Daryl,Casey,-38.05725413934634,145.33935613079854,Entire home/apt,98
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,Darebin,-37.697294180802764,145.00081557170424,Private room,50
43414,Home In The City,189682,Belinda,Melbourne,-37.8102672330311,144.98591997042834,Private room,100
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,Monash,-37.89960099646283,145.1144745408343,Entire home/apt,98
44082,Queen Room in Beautiful House,193031,Vicki,Frankston,-38.14932045433776,145.14156886702006,Private room,60
47100,Très Charming in Fabulous Richmond,212071,Loren,Yarra,-37.818037392220774,145.0044163891977,Entire home/apt,98
50492,St Kilda Central LUXE 2BR APT+TWO COURTYARDS+WIFI,50121,Frank & Vince,Port Phillip,-37.86127469286107,144.98037860122366,Entire home/apt,190
51592,Central City Warehouse Apartment,190879,Michelle,Melbourne,-37.814855786785365,144.96267162309218,Entire home/apt,228
58055,By the park,277353,Loretta,Bayside,-37.92959204029376,145.02567746802376,Private room,46
62606,A Room Near the Park,277353,Loretta,Bayside,-37.92817275457734,145.02517598023326,Private room,50
65432,Garden Views,277353,Loretta,Bayside,-37.92979030350799,145.02547933596728,Private room,43
66754,Richmond Super Central 60s Cool 1BR APT+WIFI+AC,50121,Frank & Vince,Yarra,-37.82091639875099,144.9938393105982,Entire home/apt,138
67211,"Kew Tranquility, Melbourne",326880,Kate,Boroondara,-37.80361859808861,145.0338956999893,Private room,42
68036,Classic Fitzroy Terrace (w/ cat) - walk to Tennis,336319,Andre,Yarra,-37.80311550572586,144.9766031381292,Entire home/apt,161
68411,Large Bayside suburban house,334095,Alec,Bayside,-37.932058772252695,145.01460275794574,Entire home/apt,300
68482,Charming house inner Melbourne,59786,Eleni,Darebin,-37.758610284310116,144.98927741713635,Entire home/apt,140
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,Yarra,-37.78784129511756,145.0054788650063,Entire home/apt,180
70004,King Single in Beautiful House,193031,Vicki,Frankston,-38.149307817866,145.1418967831164,Private room,60
70328,AWESOME BEACH HOUSE BnB -,356006,Raewyn,Kingston,-38.00546324737567,145.0854132635382,Private room,68
71156,Lovely Apartment with view and cat!,318900,Lisa,Darebin,-37.76249518227676,145.0085686176337,Entire home/apt,60
72576,"Stunning Fitzroy, own level + bathroom.  No Ikea!",376675,Ramona,Yarra,-37.80688625847805,144.97945512802343,Private room,120
74324,Tamerlane: Architect-designed luxury living,390761,Matt,Yarra,-37.80275304397114,144.97616079928193,Entire home/apt,228
74548,City Location-Perfect for Singles,392505,Mario,Melbourne,-37.81550170482398,144.95893682143915,Private room,64
74715,"Northcote, A Classic in Melbourne",392594,Walter,Darebin,-37.77257908075387,145.0099414025855,Private room,48
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,Port Phillip,-37.84027741345648,144.93594655031615,Private room,96
